"Feature","Gain","Cover","Frequency"
"Store_id.332",7.35680415898194e-06,7.19650969694536e-05,6.09830467130138e-05
"Store_id.234",7.09147206651397e-06,8.22761148340963e-06,6.09830467130138e-05
"Store_id.56",6.79652042174712e-06,4.09582944770745e-05,6.09830467130138e-05
"Store_id.204",4.57664101637229e-06,6.51294959443015e-06,0.000121966093426028
"Store_id.226",3.86816578990981e-06,2.53050907809069e-06,0.000121966093426028
"Store_id.258",3.70798906537408e-06,7.28731302816282e-06,0.000121966093426028
"Store_id.249",3.41818053139123e-06,9.803994187794e-06,6.09830467130138e-05
"Store_id.101",3.0918666339301e-06,2.99143969340776e-05,6.09830467130138e-05
"Store_id.60",2.75088672913063e-06,3.87642647481653e-06,6.09830467130138e-05
"Store_id.355",2.53963633302562e-06,4.69688297008091e-06,6.09830467130138e-05
"Store_id.269",2.28746980986187e-06,1.65335811714232e-05,6.09830467130138e-05
"Store_id.31",2.26530598101843e-06,8.80377475255597e-06,0.000121966093426028
"Store_id.230",2.14617684065877e-06,1.34822204980242e-05,6.09830467130138e-05
"Store_id.233",2.02786940657033e-06,4.33274778398042e-07,6.09830467130138e-05
"Store_id.43",2.02784240027432e-06,9.07111450943987e-06,0.000121966093426028
"Store_id.128",1.90500505718184e-06,1.73309911359217e-06,6.09830467130138e-05
"Store_id.222",1.89313817299451e-06,4.44337113165652e-06,6.09830467130138e-05
"Store_id.242",1.79601400091355e-06,5.71553962993162e-07,6.09830467130138e-05
"Store_id.340",1.69475309972632e-06,2.67339756883898e-07,6.09830467130138e-05
"Store_id.163",1.68864808822272e-06,3.91791023019506e-07,6.09830467130138e-05
"Store_id.289",1.459560033604e-06,1.13388931367998e-06,6.09830467130138e-05
"Store_id.33",1.45094711022216e-06,1.01404735369755e-07,6.09830467130138e-05
"Store_id.168",1.29715370104191e-06,1.22146613059023e-06,6.09830467130138e-05
"Store_id.231",1.05910193905679e-06,2.02809470739509e-07,6.09830467130138e-05
"Store_id.98",9.15548681880769e-07,1.46575935670827e-06,6.09830467130138e-05
"Store_id.12",6.69378847173024e-07,8.06628576804866e-07,6.09830467130138e-05
